"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"932680129477619713","","","2017-11-20 18:40:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @daattali: Want to learn or improve your #rstats/tidyverse/shiny skills?

Attend the 4-day workshop hosted by myself and @krlmlr in Toro…","932671715129270272","253791979","2017-11-20 18:07:19 +0000","https://www.eventbrite.com/e/modern-r-data-processing-visualization-and-reporting-with-r-tickets-39862492789?aff=deantwitter"
"932427255120199681","932257990253645829","1715370056","2017-11-20 01:55:55 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MilesMcBain Very interesting approach on tidying the dat","","","",""
"931598824589496320","","","2017-11-17 19:04:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Very well put. Data science covers so much https://t.co/iYiFA106S1","","","","https://twitter.com/ipfconline1/status/931598108743610373"
"931592990123966464","","","2017-11-17 18:40:51 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @kara_woo: Come be my colleague! My team is hiring a data science content developer. If you like data science and education, check it ou…","931586173608214528","551600672","2017-11-17 18:13:46 +0000","https://www.datacamp.com/careers/736671"
"931592916782292992","916740034425966592","69660252","2017-11-17 18:40:34 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@rajandevkota What is the best part of the book ?","","","",""
"931082635568332800","","","2017-11-16 08:52:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wrote a First Data Science Blog on analyzing fantasy premier league data using R. #rstats  @drob #fantasypremierleague #dataanalysis. 
https://t.co/ob9kAME6x3","","","","https://janeshdevkota.com/2017/11/fantasy-premier-league/"
"930939519725060096","","","2017-11-15 23:24:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Amazing https://t.co/4LM6fVlEcb","","","","https://twitter.com/AndrewYNg/status/930938692310482944"
"930579719753306112","","","2017-11-14 23:34:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @rubeenaa: Depressing to think that there are millions of Nepalis who are not home this Dashain-Tihar, toiling away in a faraway country…","922139879131242496","274931306","2017-10-22 16:37:34 +0000",""
"925820010425065472","","","2017-11-01 20:21:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @EFDC_Explorer: Check out this 3D visualization example of the Three Gorges Dam: https://t.co/QbIZ2iA1kS","925817113532600321","351972911","2017-11-01 20:09:35 +0000","http://ed.gr/f9gi,http://ed.gr/f9gi"
"922890432467501056","922720847483277312","14788193","2017-10-24 18:20:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@lomaspj Moj garnu","","","",""
"916707078441394176","916412004650373121","3230388598","2017-10-07 16:49:33 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@dataandme @rdpeng @seankross @gbwanderson Thanks for letting us know. Going through this book and learning a lot already","","","",""
"914888497076477952","","","2017-10-02 16:23:10 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Really sad to learn about Las Vegas massacre. Gun laws need to change? #LasVegasShooting","","","",""
"913252966475358208","910253473626820609","69660252","2017-09-28 04:04:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@rajandevkota That's awesome to know where your blood went","","","",""
"911733029696978944","","","2017-09-23 23:24:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @paulocoelho: I have a lot of friends that are very poor: the only thing they have is money","911568341059489792","5520952","2017-09-23 12:30:03 +0000",""
"911057031187931136","","","2017-09-22 02:38:17 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DahalTbd: ""विद्या नष्ट, सुन्दर"" छ काठमाडौ 
यो फोहर 
काम गर्न नसक्ने दिमागको प्रतिमुर्ति  हो, 
फोहोर मिल्काउन सकिन्छ, 
र त्यस्ता दिमागह…","911034065347735554","1041367052","2017-09-22 01:07:02 +0000","https://twitter.com/s_mahat/status/910838530154176513"
"910196262950989824","908684335032750080","3313531039","2017-09-19 17:37:54 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@USGS_R Fantastic","","","",""
"910196239764828161","","","2017-09-19 17:37:48 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @USGS_R: Another #rstats #dataviz! Precip and #flooding from #HurricaneIrma 💧 #opensource code: https://t.co/rpocPQe7zR #openscience htt…","908684335032750080","3313531039","2017-09-15 13:30:02 +0000","http://github.com/USGS-VIZLAB/hurricane-irma,http://github.com/USGS-VIZLAB/hurricane-irma,https://twitter.com/USGS_R/status/908684335032750080/photo/1"
"909136029835173888","","","2017-09-16 19:24:55 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @paulocoelho: Happy week and remember:
You never lose by loving. You always lose by holding back","909128646010564609","5520952","2017-09-16 18:55:34 +0000",""
"908173017515270146","","","2017-09-14 03:38:15 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NRDC: France announced its decision to get rid of oil &amp; gas production by 2040! France, we applaud you. 👏👏 https://t.co/V0HPfo41K7 via…","908163405948866560","18713552","2017-09-14 03:00:03 +0000","http://on.nrdc.org/2f9gqV2,http://on.nrdc.org/2f9gqV2"
